900,,,792,,,611,,,471,,,380,,,280,,,177,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,,,,,,,,,,,,,,,,,,,,,,0.0262,,,,,,,,,,,,
0.884,0.4750143,0.5373465,0.7782,0.3638976,0.4676146,0.5992,0.2384112,0.3978825,0.4629,0.1556984,0.3363543,0.3735,0.1133719,0.3035393,0.2761,0.07021684,0.2543167,0.1754,0.03525403,0.2009922,0.09610001,0.01892116,0.1968903,,,,,,,,,,,,,,,,,,,,,,0.0251,,,,,,,,,,,,
0.8816,0.5532815,0.6275879,0.7753999,0.435742,0.5619578,0.5974,0.2793529,0.4676146,0.4609,0.1947274,0.4224938,0.3719,0.1311921,0.3527618,0.2755,0.08249498,0.2994374,0.1736,0.04201312,0.242011,0.0963,0.01896054,0.1968903,,,,,,,,,,,,,,,,,,,,,,0.0243,,,,,,,,,,,,
0.8774,0.7090013,0.8080708,0.773,0.5136622,0.6645048,0.5955,0.3273179,0.5496521,0.4598,0.2150092,0.4676146,0.3708,0.1460138,0.3937807,0.2741,0.09107038,0.3322524,0.1734,0.04267598,0.2461129,0.0962,0.01736245,0.1804828,,,,,,,,,,,,,,,,,,,,,,0.0237,,,,,,,,,,,,
0.8732,0.8524596,0.9762479,0.7679,0.667765,0.869599,0.5938,0.3775331,0.6357917,0.4594,0.237435,0.5168371,0.3697,0.1637783,0.4430032,0.2733,0.100894,0.3691694,0.1729,0.046099,0.2666223,0.0956,0.0176463,0.1845847,,,,,,,,,,,,,,,,,,,,,,0.0245,,,,,,,,,,,,
0.8693999,0.9595243,1.103663,0.763,0.757396,0.9926554,0.5909,0.4726414,0.7998669,0.4571,0.2774956,0.6070785,0.3685,0.1783621,0.484022,0.2725,0.108423,0.3978825,0.1724,0.05728031,0.3322524,0.09579999,0.02043393,0.2132978,,,,,,,,,,,,,,,,,,,,,,0.0244,,,,,,,,,,,,
0.8576,1.080176,1.259534,0.7626,0.8447812,1.107764,0.5873,0.5299878,0.9024139,0.4539999,0.314721,0.693218,0.3675,0.1959674,0.5332446,0.2722,0.1183524,0.4347995,0.1719,0.05570397,0.3240487,0.0956,0.01999913,0.209196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8632999,1.172343,1.357979,0.7595,0.9316931,1.226719,0.5851999,0.5761011,0.9844517,0.4521,0.3616198,0.7998669,0.3653,0.2337531,0.6398935,0.271,0.136728,0.5045314,0.1712,0.05898834,0.344558,0.0952,0.02382045,0.2502148,,,,,,,,,,,,,,,,,,,,,,imax = iin+0.02666*Vin,,,,,,,,,,,,
0.8617,1.283278,1.489239,0.75,0.9969495,1.329266,0.5825,0.633326,1.087255,0.4393,0.3802128,0.865497,0.3628,0.2529876,0.6973199,0.2701,0.1362739,0.5045314,0.1708,0.06235353,0.3650675,0.09459999,0.0225062,0.2379091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8581,1.362392,1.587685,0.7541,1.076637,1.427711,0.5822,0.6712098,1.152885,0.4484,0.421196,0.939331,0.3618,0.2760353,0.76295,0.268,0.1473068,0.5496521,0.1702,0.06422891,0.3773731,0.0942,0.02472942,0.2625204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8548,1.479873,1.731251,0.7417,1.134993,1.530258,0.5790999,0.7198945,1.243127,0.4467,0.4360899,0.9762479,0.3603,0.2985374,0.8285801,0.2668,0.1630629,0.6111804,0.17,0.07252126,0.4265957,0.0883,0.02354275,0.2666223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8481999,1.663283,1.960956,0.7498,1.230429,1.641009,0.5768,0.7619887,1.321062,0.4446,0.4888647,1.099561,0.3584,0.3204849,0.8942102,0.2657,0.1798285,0.6768105,0.1694,0.07712932,0.4553089,0.09379999,0.02539393,0.2707242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8421,1.803521,2.141695,0.7474,1.290871,1.727149,0.5746,0.813292,1.415406,0.4436,0.4968631,1.12007,0.3572,0.3369942,0.9434328,0.2516,0.1909262,0.7588481,0.169,0.07486754,0.4430032,0.09339999,0.02835056,0.3035393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8254,2.004754,2.428827,0.7453,1.378958,1.850205,0.5732999,0.846726,1.476934,0.4418,0.5292789,1.198006,0.3555,0.3558054,1.000859,0.2629,0.2059715,0.7834594,0.1681,0.07722694,0.4594108,0.09309999,0.02940516,0.3158449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8181,2.198435,2.687245,0.7393,1.507352,2.038892,0.5713,0.8929837,1.563073,0.4405,0.5548248,1.259534,0.3543,0.3794013,1.070848,0.2623,0.2151847,0.8203763,0.1677,0.08460992,0.5045314,0.0928,0.02778779,0.2994374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8223,2.425592,2.949766,0.7345,1.600191,2.178612,0.5695,0.9252106,1.624602,0.4387,0.5777506,1.31696,0.3536,0.3917055,1.107764,0.2608,0.2278611,0.8737008,0.1658,0.09113232,0.5496521,0.09289999,0.03200944,0.344558,,,,,,,,,,,,,,,,isc,im,pm,vm,,,,,,,,,,,,,,,
0.8153999,2.666332,3.269969,0.7298,1.730648,2.3714,0.5677,0.9735163,1.714843,0.4374,0.6101275,1.394896,0.3522,0.4017121,1.140579,0.2601,0.2357848,0.9065159,0.1651,0.09751978,0.590671,0.09219999,0.03176825,0.344558,,,,,,,,,,,,,,,,0.9,0.7426,3.333148,4.488484,,,,,,,,,,,,,,,
0.8094999,2.889434,3.569406,0.7245999,1.89665,2.617513,0.5661,1.01257,1.788677,0.4359,0.6294913,1.444119,0.351,0.4334579,1.234923,0.2593,0.2446321,0.9434328,0.1566,0.0976379,0.623486,0.09209999,0.03362271,0.3650675,,,,,,,,,,,,,,,,0.792,0.6781,3.057549,4.508994,,,,,,,,,,,,,,,
0.8001999,3.082719,3.852436,0.7193,2.030301,2.822607,0.565,1.040731,1.842001,0.4251,0.6365631,1.497443,0.35,0.419302,1.198006,0.2585,0.2534204,0.9803497,0.1638,0.1095178,0.6686067,0.0918,0.03238353,0.3527618,,,,,,,,,,,,,,,,0.611,0.4975,2.302404,4.627948,,,,,,,,,,,,,,,
0.7793,3.274114,4.201353,0.7133999,2.145331,3.007192,0.5571,1.065027,1.911733,0.4337,0.6743469,1.55487,0.3488,0.457925,1.312859,0.257,0.2667085,1.037776,0.1629,0.1142616,0.7014218,0.09139999,0.03374207,0.3691694,,,,,,,,,,,,,,,,0.471,0.3545,1.69441,4.779718,,,,,,,,,,,,,,,
0.7426,3.333148,4.488484,0.6944,2.31624,3.335599,0.5606,1.10851,1.977363,0.4323,0.6952222,1.608194,0.3475,0.4647707,1.33747,0.257,0.2720453,1.058542,0.162,0.1189464,0.7342368,0.09139999,0.0344919,0.3773731,,,,,,,,,,,,,,,,0.38,0.2613,1.268233,4.853551,,,,,,,,,,,,,,,
0.7099,3.165991,4.459771,0.7007999,2.478443,3.536591,0.5592,1.158498,2.071707,0.4306,0.7154498,1.661518,0.3463,0.481632,1.390794,0.256,0.2804374,1.095459,0.1618,0.1194632,0.7383387,0.09119999,0.0359128,0.3937807,,,,,,,,,,,,,,,,0.28,0.1613,0.8000803,4.9602,,,,,,,,,,,,,,,
0.6557999,2.983898,4.550012,0.6961999,2.636374,3.786806,0.5574,1.168488,2.096318,0.4296,0.7366965,1.714843,0.3367,0.4903781,1.456424,0.255,0.2908478,1.140579,0.1606,0.1231885,0.7670519,0.0906,0.03790631,0.4183919,,,,,,,,,,,,,,,,0.117,0.08719999,0.3330709,3.819621,,,,,,,,,,,,,,,
0.6335,2.895426,4.570522,0.6893,2.782718,4.037021,0.5463,1.178971,2.158103,0.4279,0.7636196,1.784575,0.344,0.5165315,1.501545,0.2537,0.2956089,1.165191,0.1603,0.1295337,0.8080708,0.09009999,0.03732753,0.41429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6023,2.755296,4.574624,0.6841001,2.930267,4.28339,0.5527,1.253995,2.268853,0.4265,0.7733674,1.813288,0.343,0.5262856,1.53436,0.2532,0.3033351,1.198006,0.1597,0.1310141,0.8203763,0.09,0.03691694,0.4101882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
